matchId,t1Dragons,t2Dragons,t1Rift,t2Rift,topGoldDiff,jgGoldDiff,midGoldDiff,adcGoldDiff,suppGoldDiff,t1TopTowerTaken,t1MidTowerTaken,t1BotTowerTaken,t2TopTowerTaken,t2MidTowerTaken,t2BotTowerTaken
NA1_4236331738,2,0,1,0,1375,-486,-3113,-252,499,0,1,0,0,0,0
NA1_4253592690,1,1,1,0,1341,2048,1618,-1159,1841,0,0,0,1,1,0
NA1_4249259648,1,0,1,0,3062,1449,-421,-2262,-921,0,0,0,1,0,0
NA1_4253486461,2,0,1,0,-1404,1720,2464,-1560,-361,0,0,0,0,1,0
NA1_4260864182,0,2,0,1,990,-460,-1063,898,1755,0,0,0,0,0,0
NA1_4248586807,0,1,0,0,-1576,-1807,-1002,-816,-1495,1,0,1,0,0,0
NA1_4243116287,0,1,1,0,1731,-782,-2638,-359,39,0,0,0,1,0,0
NA1_4236612469,0,1,1,0,1732,22,80,-2854,-3927,0,0,1,1,0,0
NA1_4241227735,1,1,0,1,1085,-340,-2184,3084,2026,0,0,0,0,0,1
NA1_4260237200,1,0,0,1,-1217,-1189,27,216,1219,0,0,0,0,0,1
NA1_4247765150,0,1,1,0,704,317,-2213,-310,-38,0,0,0,0,0,0
NA1_4259826504,1,1,1,0,-369,744,1288,-2008,-1489,0,0,0,0,1,0
NA1_4238428978,1,0,1,0,485,865,337,1827,1237,0,0,0,0,0,1
NA1_4241879530,0,2,1,0,-1625,-386,-1997,74,447,1,0,0,0,0,0
NA1_4242533754,0,1,0,1,-3525,-702,-254,1701,509,1,0,0,0,0,0
NA1_4245225374,0,2,0,0,-2355,-297,-51,-147,-811,1,0,0,0,0,0
NA1_4241246626,1,1,1,0,211,1408,2686,-853,-13,0,0,0,0,0,0
NA1_4242024028,0,2,0,1,-223,325,327,-2136,-256,0,0,1,0,0,0
NA1_4253500240,0,1,0,1,726,-469,-721,-3176,-1401,0,0,1,0,0,0
NA1_4249686090,1,0,1,0,3761,1958,414,365,932,0,0,0,1,0,0
NA1_4249724270,1,0,0,1,-306,348,493,-1724,-596,0,0,0,0,0,0
NA1_4259613536,1,0,0,0,500,569,-950,3026,129,0,0,0,0,0,1
NA1_4244997035,1,1,0,0,331,2025,15,847,935,0,0,0,0,0,0
NA1_4238912572,1,1,0,1,2964,-82,-2176,676,-48,0,0,0,1,0,0
NA1_4248242407,0,2,0,1,1832,-1606,-259,-234,33,0,0,0,0,0,0
NA1_4253759116,1,1,0,1,-1959,-953,100,1190,-192,1,0,0,0,0,0
NA1_4255872240,0,1,1,0,2148,1204,-1255,-1939,-866,0,0,0,0,0,0
NA1_4253875524,2,0,0,1,-1194,774,-437,-1109,-136,0,1,0,0,0,0
