matchId,gameLength,winningTeam,team1Top,team1Jg,team1Mid,team1Adc,team1Supp,team2Top,team2Jg,team2Mid,team2Adc,team2Supp
NA1_4254639484,1721,200,Yasuo,Graves,Katarina,Kaisa,Janna,Yorick,Vi,Neeko,MissFortune,Rell
NA1_4245107739,1751,100,Malzahar,Volibear,Akshan,Jhin,Lux,Urgot,Viego,Irelia,TahmKench,Soraka
NA1_4244359282,1708,200,Malphite,Zac,Annie,Draven,Pyke,Jax,Skarner,Vex,Tristana,Blitzcrank
NA1_4249994858,1874,200,Jax,Khazix,Ahri,Jinx,Thresh,MonkeyKing,Rammus,Qiyana,Lucian,Yuumi
NA1_4255866943,1216,100,Vayne,Jax,Akali,MissFortune,Zilean,Garen,Nunu,Akshan,Jhin,Lulu
NA1_4245496191,2555,100,Chogath,MonkeyKing,Singed,KogMaw,Lulu,Ornn,Trundle,Velkoz,Ezreal,Yuumi
NA1_4251987492,1555,200,Aatrox,Nunu,Vex,Jinx,Shen,Volibear,MasterYi,TwistedFate,Draven,Lux
NA1_4255386633,1468,200,DrMundo,Yuumi,Katarina,Lucian,Zac,Karthus,Mordekaiser,Chogath,Jinx,Nautilus
NA1_4254848508,2034,100,Graves,XinZhao,Neeko,Vayne,Karma,Renekton,MasterYi,Viktor,Lucian,Nami
NA1_4248703504,1999,100,Malphite,Ivern,Veigar,Lucian,Brand,Nasus,Amumu,Lux,Jinx,Lulu
NA1_4245242404,1738,200,Akali,Diana,Tristana,Seraphine,Gangplank,Zac,Zed,Vayne,Zyra,
NA1_4238933572,2223,100,Viego,Nocturne,Morgana,Jhin,Senna,Garen,Warwick,Zilean,Jinx,Nami
NA1_4258938876,1831,100,Irelia,Kayn,Zoe,Ezreal,Senna,Kayle,Zed,Leblanc,Vayne,Renata
NA1_4247677195,2270,200,Udyr,Ekko,Graves,Caitlyn,Nami,Sion,Evelynn,Zed,Jhin,Leona
NA1_4258519273,1669,200,Darius,Graves,Ahri,Varus,Brand,Garen,Hecarim,TwistedFate,Ezreal,Nautilus
NA1_4253963377,1207,100,Kled,Shaco,Galio,Jinx,Blitzcrank,Illaoi,LeeSin,Viktor,Vayne,Thresh
NA1_4247959659,1563,100,Viego,Nunu,Sylas,Vayne,Xerath,Malphite,Hecarim,Renekton,Jinx,Morgana
NA1_4260511333,1521,100,Tryndamere,Kaisa,Leblanc,Nautilus,Senna,Yone,Kayn,Viktor,Vayne,Yuumi
NA1_4248029965,1806,100,TahmKench,Kayn,Yone,Ezreal,Morgana,Fiora,Hecarim,Ekko,Ashe,Lux
NA1_4250989905,1526,200,DrMundo,Diana,Veigar,Draven,Lulu,Nasus,Sejuani,Gragas,Jinx,Janna
NA1_4249617915,2180,200,Akshan,LeeSin,Velkoz,Aphelios,Leona,Singed,RekSai,Pyke,Jinx,Zyra
NA1_4247233455,1601,100,Malphite,Viego,Veigar,Varus,Lux,Singed,Khazix,Fizz,Ashe,Soraka
NA1_4237725473,1774,200,Garen,Diana,Katarina,Jhin,Soraka,Yone,Nocturne,Sylas,Ezreal,Sona
NA1_4250534791,1999,100,Jax,Viktor,Viego,Sivir,Renata,Darius,Diana,Yasuo,Ashe,Sona
NA1_4240416458,1698,200,Vladimir,XinZhao,Qiyana,Tristana,Rakan,Irelia,Trundle,Lissandra,Ashe,Blitzcrank
NA1_4242562639,1927,200,Tryndamere,Vi,Akali,Sivir,Lulu,Illaoi,MasterYi,Veigar,Kaisa,Karma
NA1_4243868989,2460,200,Garen,Amumu,Akali,Jhin,Nami,Urgot,Lillia,Yone,Twitch,Senna
NA1_4237477813,1405,100,Singed,Vi,Yasuo,Zeri,Nautilus,Darius,Nocturne,Leblanc,Aphelios,Lulu
NA1_4245650043,620,100,Urgot,Hecarim,Veigar,Tristana,Alistar,Garen,Volibear,Fizz,Jinx,Janna
NA1_4246123829,1681,200,Yasuo,MasterYi,Nunu,Vayne,Brand,Rengar,Nocturne,Viktor,Ziggs,Sona
NA1_4238548886,1930,100,Sett,Kindred,Ekko,Caitlyn,TwistedFate,Mordekaiser,Hecarim,Vex,Jinx,Karma
NA1_4254426980,1636,100,Camille,Shaco,Pyke,Lucian,Seraphine,Teemo,Nunu,Ekko,Caitlyn,Lulu
NA1_4258361712,974,100,Teemo,Khazix,Sylas,Jinx,Thresh,Darius,Hecarim,Gangplank,Twitch,Lulu
NA1_4235093687,2106,100,Sion,Hecarim,Singed,Caitlyn,Karma,Graves,Shyvana,Viktor,Ezreal,Braum
NA1_4252501549,1485,200,Teemo,Viego,Kayle,Aphelios,Nautilus,XinZhao,Tryndamere,Yasuo,Kaisa,Singed
NA1_4259699307,1744,100,Yorick,Warwick,Ashe,Ezreal,Nami,Chogath,Hecarim,Veigar,Caitlyn,Xerath
NA1_4238321593,1795,200,Riven,Tryndamere,Akali,Jhin,Leona,Warwick,MasterYi,Vladimir,Vayne,Renata
NA1_4247349429,1180,100,Gragas,Udyr,Akshan,Samira,Nautilus,Irelia,Nunu,Zed,Kaisa,Soraka
NA1_4240293642,1222,100,Tryndamere,MasterYi,Lucian,Samira,Xerath,Kayn,Kindred,Leblanc,Ezreal,Janna
NA1_4244506817,1648,100,Gwen,Graves,Akali,Ashe,Neeko,Trundle,LeeSin,TwistedFate,Zeri,Xerath
NA1_4246294227,1442,200,Teemo,Kayn,Kaisa,Jinx,Blitzcrank,Yorick,Vi,Kassadin,KogMaw,Thresh
NA1_4238583367,1366,200,Riven,MasterYi,Zed,MissFortune,Nautilus,Teemo,Rammus,Leblanc,Tristana,Blitzcrank
NA1_4239104447,2313,200,Singed,RekSai,Viktor,Vayne,Pantheon,Kayle,MonkeyKing,Pyke,Draven,Yuumi
NA1_4256501162,1766,100,Mordekaiser,Kayn,Yasuo,Vayne,Nami,Yorick,LeeSin,Viktor,Samira,Pantheon
NA1_4244491799,1322,100,Irelia,Hecarim,Fizz,Jhin,Taliyah,Sett,Ekko,Sejuani,Jinx,Sona
NA1_4238422473,2117,100,Jax,MasterYi,Veigar,Samira,Pantheon,Darius,Hecarim,Viktor,Zeri,Morgana
NA1_4254876146,1734,200,Vayne,Zed,Ekko,Ashe,Lux,Sylas,Hecarim,Pyke,Twitch,Lulu
NA1_4255630215,1651,200,Jax,Hecarim,Yasuo,Lux,Seraphine,Veigar,Volibear,Vex,Draven,Leona
NA1_4242228654,933,100,Darius,FiddleSticks,Kassadin,Caitlyn,Karma,Riven,Nidalee,Vex,Jhin,Swain
NA1_4249866264,1895,100,Fiora,Gwen,Anivia,Soraka,Lulu,Jax,RekSai,Vladimir,Jhin,Morgana
NA1_4235888857,2199,100,Volibear,Vi,TwistedFate,Veigar,Ezreal,Sion,Diana,Fizz,Yasuo,Rell
NA1_4253494510,1844,100,Yone,Volibear,Malphite,Tristana,Leona,Nasus,Nocturne,Akshan,Caitlyn,Velkoz
